ax,ay,az,gx,gy,gz,target,target_name
0.08,0.98,0.02,-1.46,0.73,-0.55,0.0,left-right
0.08,0.98,0.02,-1.4,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-0.98,0.67,-0.61,0.0,left-right
0.08,0.98,0.02,-0.61,0.67,-0.73,0.0,left-right
0.08,0.98,0.02,-0.37,0.55,-0.73,0.0,left-right
0.08,0.98,0.02,-0.55,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-0.61,0.67,-0.67,0.0,left-right
0.08,0.98,0.02,-0.85,0.67,-0.73,0.0,left-right
0.08,0.98,0.02,-0.98,0.85,-0.67,0.0,left-right
0.08,0.98,0.02,-1.04,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.28,0.73,-0.55,0.0,left-right
0.08,0.98,0.02,-1.4,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.28,0.85,-0.55,0.0,left-right
0.08,0.98,0.02,-1.53,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.53,0.73,-0.55,0.0,left-right
0.08,0.98,0.02,-1.46,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.59,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-2.14,0.98,-0.55,0.0,left-right
0.08,0.98,0.02,-2.2,1.1,-0.61,0.0,left-right
0.08,0.98,0.02,-1.28,0.85,-0.49,0.0,left-right
0.08,0.98,0.02,-1.28,0.92,-0.55,0.0,left-right
0.08,0.98,0.02,-1.53,0.92,-0.67,0.0,left-right
0.08,0.98,0.02,-1.34,0.73,-0.49,0.0,left-right
0.08,0.98,0.02,-1.34,0.79,-0.67,0.0,left-right
0.08,0.98,0.02,-1.65,0.67,-0.55,0.0,left-right
0.08,0.98,0.02,-1.28,0.73,-0.49,0.0,left-right
0.08,0.98,0.02,-1.46,0.92,-0.55,0.0,left-right
0.08,0.98,0.02,-1.34,0.85,-0.55,0.0,left-right
0.08,0.98,0.02,-0.92,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-1.1,0.67,-0.67,0.0,left-right
0.08,0.98,0.02,-1.22,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-0.92,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-1.16,0.79,-0.67,0.0,left-right
0.08,0.98,0.02,-1.34,0.79,-0.61,0.0,left-right
0.08,0.98,0.02,-1.22,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-0.98,0.67,-0.55,0.0,left-right
0.08,0.98,0.02,-0.98,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-0.92,0.67,-0.61,0.0,left-right
0.08,0.98,0.02,-1.16,0.67,-0.61,0.0,left-right
0.08,0.98,0.02,-1.4,0.79,-0.61,0.0,left-right
0.08,0.98,0.02,-1.46,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.71,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-2.26,0.85,-0.49,0.0,left-right
0.08,0.98,0.02,-1.83,0.98,-0.49,0.0,left-right
0.08,0.98,0.02,-1.77,0.85,-0.55,0.0,left-right
0.08,0.98,0.02,-1.71,0.79,-0.49,0.0,left-right
0.08,0.98,0.02,-1.53,0.85,-0.55,0.0,left-right
0.08,0.98,0.02,-1.46,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-1.34,0.73,-0.55,0.0,left-right
0.08,0.98,0.02,-1.1,0.67,-0.67,0.0,left-right
0.08,0.98,0.02,-0.92,0.67,-0.67,0.0,left-right
0.08,0.98,0.02,-0.49,0.55,-0.67,0.0,left-right
0.08,0.98,0.02,-0.24,0.55,-0.73,0.0,left-right
0.08,0.98,0.02,-0.24,0.61,-0.79,0.0,left-right
0.08,0.98,0.02,-0.61,0.61,-0.73,0.0,left-right
0.08,0.98,0.02,-0.79,0.67,-0.73,0.0,left-right
0.08,0.98,0.02,-0.85,0.79,-0.61,0.0,left-right
0.08,0.98,0.02,-1.16,0.73,-0.49,0.0,left-right
0.08,0.98,0.02,-1.4,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.4,0.85,-0.49,0.0,left-right
0.08,0.97,0.02,-2.01,0.98,-0.55,0.0,left-right
0.08,0.98,0.02,-1.95,0.79,-0.55,0.0,left-right
0.08,0.98,0.02,-1.59,0.67,-0.55,0.0,left-right
0.08,0.98,0.02,-2.01,0.92,-0.61,0.0,left-right
0.08,0.98,0.02,-2.38,0.98,-0.61,0.0,left-right
0.08,0.98,0.02,-2.14,0.79,-0.37,0.0,left-right
0.08,0.97,0.01,-2.75,1.04,-0.55,0.0,left-right
0.08,0.98,0.02,-2.87,0.98,-0.43,0.0,left-right
0.08,0.98,0.02,-2.75,0.98,-0.43,0.0,left-right
0.08,0.98,0.01,-2.44,0.98,-0.49,0.0,left-right
0.08,0.98,0.02,-1.65,0.85,-0.49,0.0,left-right
0.08,0.98,0.02,-0.85,0.67,-0.55,0.0,left-right
0.08,0.98,0.02,-0.31,0.55,-0.73,0.0,left-right
0.08,0.98,0.02,0.24,0.55,-0.73,0.0,left-right
0.08,0.98,0.02,1.16,0.43,-0.73,0.0,left-right
0.08,0.98,0.02,0.79,0.43,-0.92,0.0,left-right
0.08,0.98,0.02,0.18,0.49,-0.73,0.0,left-right
0.08,0.98,0.02,0.0,0.43,-0.73,0.0,left-right
0.08,0.98,0.02,-0.61,0.55,-0.67,0.0,left-right
0.08,0.97,0.02,-1.46,0.85,-0.49,0.0,left-right
0.08,0.98,0.02,-1.53,0.85,-0.43,0.0,left-right
0.08,0.98,0.02,-2.44,0.92,-0.37,0.0,left-right
0.08,0.98,0.02,-3.3,1.16,-0.31,0.0,left-right
0.08,0.98,0.02,-3.78,1.4,-0.24,0.0,left-right
0.08,0.98,0.01,-3.97,1.22,-0.31,0.0,left-right
0.08,0.98,0.01,-3.78,1.16,-0.31,0.0,left-right
0.08,0.98,0.02,-2.38,0.98,-0.37,0.0,left-right
0.08,0.98,0.02,-1.16,0.79,-0.55,0.0,left-right
0.08,0.98,0.01,-0.49,0.49,-0.61,0.0,left-right
0.09,0.98,0.01,-0.18,0.31,-0.73,0.0,left-right
0.09,0.98,0.02,0.12,0.43,-0.73,0.0,left-right
0.08,0.98,0.02,-0.24,0.61,-0.67,0.0,left-right
0.08,0.98,0.02,-0.61,0.79,-0.61,0.0,left-right
0.09,0.98,0.01,-1.34,1.04,-0.61,0.0,left-right
0.08,0.97,0.01,-1.1,0.92,-0.55,0.0,left-right
0.09,0.98,0.02,-0.61,0.67,-0.49,0.0,left-right
0.08,0.98,0.02,-1.28,0.61,-0.43,0.0,left-right
0.08,0.98,0.02,-2.44,1.16,-0.67,0.0,left-right
0.08,0.98,0.02,-2.01,1.1,-0.55,0.0,left-right
0.07,0.98,0.02,-1.34,0.61,-0.55,0.0,left-right
